iter	Logloss
0	0.6676384284
1	0.6438544089
2	0.6223531236
3	0.6053298823
4	0.5884735418
5	0.5736776785
6	0.5589387686
7	0.5475823646
8	0.5366173765
9	0.5269037717
10	0.5164857768
11	0.5088322054
12	0.5006677083
13	0.4925664963
14	0.4854025341
15	0.4779095108
16	0.4718248746
17	0.4666736392
18	0.4587186599
19	0.4528229276
20	0.4482235228
21	0.4432894212
22	0.4366374457
23	0.4255072632
24	0.4207887462
25	0.4081963426
26	0.4058232425
27	0.4025107939
28	0.3989782746
29	0.3961571231
30	0.3929582638
31	0.390385648
32	0.3822616508
33	0.3762589026
34	0.3740827745
35	0.369332208
36	0.3674789904
37	0.3657463467
38	0.3614493091
39	0.3557145022
40	0.3545776459
41	0.350964849
42	0.3499126702
43	0.3460559813
44	0.3443145476
45	0.3421294853
46	0.3368967362
47	0.3347538053
48	0.3330169181
49	0.3288780501
50	0.3274469278
51	0.3267519199
52	0.3254885821
53	0.3242567815
54	0.3232782527
55	0.3218554686
56	0.3206114814
57	0.3200465619
58	0.3187436498
59	0.3178492711
60	0.316663201
61	0.3149391409
62	0.3130854748
63	0.3123737368
64	0.310592038
65	0.3101733175
66	0.3093121479
67	0.3082977494
68	0.3071565468
69	0.3064280417
70	0.305510542
71	0.3045719315
72	0.3030277229
73	0.3013583136
74	0.3006575992
75	0.2996576029
76	0.2989646533
77	0.2986212845
78	0.2968201936
79	0.2951337187
80	0.2942965937
81	0.293828527
82	0.2930569659
83	0.292329532
84	0.2919026928
85	0.290910438
86	0.2905827518
87	0.289322465
88	0.2888062289
89	0.2878527948
90	0.2872065554
91	0.2863095404
92	0.2857799798
93	0.2848847875
94	0.284464134
95	0.2823690089
96	0.2816304881
97	0.2808010498
98	0.2805627442
99	0.2803378743
100	0.2801434324
101	0.2799577716
102	0.2788520552
103	0.2778194948
104	0.2762519873
105	0.27597385
106	0.2758017893
107	0.2755870875
108	0.2750209209
109	0.2733647998
110	0.2731283973
111	0.2725546619
112	0.2723715513
113	0.2721562089
114	0.2719806263
115	0.2717990433
116	0.271584743
117	0.2714091974
118	0.2709601243
119	0.2704749881
120	0.2703118713
121	0.2701688794
122	0.2698418974
123	0.2694705937
124	0.2691141151
125	0.2690050594
126	0.2686891557
127	0.268043926
128	0.2678130263
129	0.2674020361
130	0.2672013087
131	0.267042725
132	0.2668643468
133	0.2666035089
134	0.2664639409
135	0.2658491125
136	0.2654273582
137	0.2649651698
138	0.2648439849
139	0.2643622464
140	0.2640331976
141	0.2635426774
142	0.2633102253
143	0.2625696466
144	0.2624435886
145	0.2623174106
146	0.2620872655
147	0.2616674185
148	0.2615754226
149	0.2612307429
150	0.2610375937
151	0.260920109
152	0.2607838341
153	0.2606722508
154	0.2602679379
155	0.2599931003
156	0.2599044299
157	0.2597875162
158	0.2594217055
159	0.2592843318
160	0.2586800443
161	0.2584781599
162	0.2583311321
163	0.2579872428
164	0.25752352
165	0.2574336439
166	0.2572680057
167	0.2571825333
168	0.2570319853
169	0.2558467923
170	0.2552686683
